#Created as New Dataset	Sample 003 By PEService Date Tuesday	 April 30 2013
#cm-1	%T
4000.00	99.92
3999.00	99.92
3998.00	99.92
3997.00	99.92
3996.00	99.92
3995.00	99.92
3994.00	99.91
3993.00	99.90
3992.00	99.90
3991.00	99.89
3990.00	99.89
3989.00	99.90
3988.00	99.90
3987.00	99.90
3986.00	99.90
3985.00	99.90
3984.00	99.90
3983.00	99.90
3982.00	99.90
3981.00	99.90
3980.00	99.90
3979.00	99.90
3978.00	99.90
3977.00	99.91
3976.00	99.92
3975.00	99.92
3974.00	99.92
3973.00	99.92
3972.00	99.91
3971.00	99.91
3970.00	99.91
3969.00	99.91
3968.00	99.91
3967.00	99.91
3966.00	99.91
3965.00	99.91
3964.00	99.92
3963.00	99.92
3962.00	99.92
3961.00	99.93
3960.00	99.93
3959.00	99.93
3958.00	99.92
3957.00	99.92
3956.00	99.92
3955.00	99.92
3954.00	99.93
3953.00	99.93
3952.00	99.93
3951.00	99.94
3950.00	99.94
3949.00	99.95
3948.00	99.95
3947.00	99.95
3946.00	99.95
3945.00	99.94
3944.00	99.94
3943.00	99.93
3942.00	99.93
3941.00	99.92
3940.00	99.92
3939.00	99.93
3938.00	99.93
3937.00	99.93
3936.00	99.94
3935.00	99.95
3934.00	99.95
3933.00	99.95
3932.00	99.94
3931.00	99.93
3930.00	99.92
3929.00	99.92
3928.00	99.92
3927.00	99.92
3926.00	99.92
3925.00	99.92
3924.00	99.93
3923.00	99.93
3922.00	99.94
3921.00	99.95
3920.00	99.95
3919.00	99.96
3918.00	99.96
3917.00	99.96
3916.00	99.95
3915.00	99.95
3914.00	99.94
3913.00	99.94
3912.00	99.94
3911.00	99.94
3910.00	99.94
3909.00	99.93
3908.00	99.93
3907.00	99.92
3906.00	99.92
3905.00	99.92
3904.00	99.92
3903.00	99.92
3902.00	99.93
3901.00	99.93
3900.00	99.93
3899.00	99.93
3898.00	99.93
3897.00	99.93
3896.00	99.94
3895.00	99.94
3894.00	99.94
3893.00	99.94
3892.00	99.94
3891.00	99.94
3890.00	99.94
3889.00	99.94
3888.00	99.94
3887.00	99.95
3886.00	99.95
3885.00	99.95
3884.00	99.94
3883.00	99.95
3882.00	99.95
3881.00	99.95
3880.00	99.95
3879.00	99.95
3878.00	99.95
3877.00	99.95
3876.00	99.96
3875.00	99.96
3874.00	99.96
3873.00	99.95
3872.00	99.94
3871.00	99.94
3870.00	99.94
3869.00	99.93
3868.00	99.93
3867.00	99.92
3866.00	99.92
3865.00	99.92
3864.00	99.92
3863.00	99.92
3862.00	99.93
3861.00	99.94
3860.00	99.94
3859.00	99.94
3858.00	99.93
3857.00	99.93
3856.00	99.93
3855.00	99.93
3854.00	99.93
3853.00	99.93
3852.00	99.93
3851.00	99.93
3850.00	99.93
3849.00	99.94
3848.00	99.94
3847.00	99.95
3846.00	99.95
3845.00	99.95
3844.00	99.94
3843.00	99.94
3842.00	99.93
3841.00	99.93
3840.00	99.92
3839.00	99.92
3838.00	99.92
3837.00	99.93
3836.00	99.93
3835.00	99.93
3834.00	99.93
3833.00	99.93
3832.00	99.93
3831.00	99.93
3830.00	99.93
3829.00	99.94
3828.00	99.94
3827.00	99.95
3826.00	99.95
3825.00	99.96
3824.00	99.95
3823.00	99.95
3822.00	99.94
3821.00	99.93
3820.00	99.92
3819.00	99.92
3818.00	99.92
3817.00	99.92
3816.00	99.92
3815.00	99.92
3814.00	99.92
3813.00	99.93
3812.00	99.93
3811.00	99.93
3810.00	99.94
3809.00	99.94
3808.00	99.94
3807.00	99.93
3806.00	99.94
3805.00	99.94
3804.00	99.94
3803.00	99.94
3802.00	99.94
3801.00	99.94
3800.00	99.93
3799.00	99.94
3798.00	99.94
3797.00	99.94
3796.00	99.95
3795.00	99.95
3794.00	99.95
3793.00	99.95
3792.00	99.95
3791.00	99.95
3790.00	99.96
3789.00	99.95
3788.00	99.95
3787.00	99.95
3786.00	99.95
3785.00	99.95
3784.00	99.96
3783.00	99.96
3782.00	99.97
3781.00	99.96
3780.00	99.96
3779.00	99.95
3778.00	99.95
3777.00	99.94
3776.00	99.95
3775.00	99.95
3774.00	99.96
3773.00	99.96
3772.00	99.96
3771.00	99.96
3770.00	99.95
3769.00	99.94
3768.00	99.93
3767.00	99.93
3766.00	99.94
3765.00	99.94
3764.00	99.94
3763.00	99.94
3762.00	99.94
3761.00	99.95
3760.00	99.95
3759.00	99.95
3758.00	99.94
3757.00	99.94
3756.00	99.93
3755.00	99.92
3754.00	99.91
3753.00	99.91
3752.00	99.91
3751.00	99.92
3750.00	99.92
3749.00	99.92
3748.00	99.92
3747.00	99.93
3746.00	99.93
3745.00	99.94
3744.00	99.95
3743.00	99.96
3742.00	99.97
3741.00	99.97
3740.00	99.97
3739.00	99.97
3738.00	99.96
3737.00	99.95
3736.00	99.95
3735.00	99.95
3734.00	99.94
3733.00	99.94
3732.00	99.94
3731.00	99.94
3730.00	99.95
3729.00	99.96
3728.00	99.97
3727.00	99.97
3726.00	99.97
3725.00	99.98
3724.00	99.98
3723.00	99.98
3722.00	99.97
3721.00	99.96
3720.00	99.95
3719.00	99.94
3718.00	99.94
3717.00	99.93
3716.00	99.93
3715.00	99.93
3714.00	99.94
3713.00	99.94
3712.00	99.94
3711.00	99.94
3710.00	99.94
3709.00	99.93
3708.00	99.93
3707.00	99.92
3706.00	99.92
3705.00	99.93
3704.00	99.93
3703.00	99.94
3702.00	99.95
3701.00	99.95
3700.00	99.95
3699.00	99.95
3698.00	99.95
3697.00	99.94
3696.00	99.94
3695.00	99.93
3694.00	99.92
3693.00	99.91
3692.00	99.90
3691.00	99.89
3690.00	99.89
3689.00	99.88
3688.00	99.88
3687.00	99.89
3686.00	99.90
3685.00	99.91
3684.00	99.91
3683.00	99.91
3682.00	99.90
3681.00	99.89
3680.00	99.87
3679.00	99.85
3678.00	99.84
3677.00	99.82
3676.00	99.80
3675.00	99.79
3674.00	99.79
3673.00	99.80
3672.00	99.81
3671.00	99.82
3670.00	99.82
3669.00	99.82
3668.00	99.81
3667.00	99.80
3666.00	99.79
3665.00	99.78
3664.00	99.77
3663.00	99.76
3662.00	99.76
3661.00	99.75
3660.00	99.74
3659.00	99.73
3658.00	99.72
3657.00	99.71
3656.00	99.70
3655.00	99.69
3654.00	99.68
3653.00	99.68
3652.00	99.67
3651.00	99.66
3650.00	99.64
3649.00	99.63
3648.00	99.62
3647.00	99.62
3646.00	99.61
3645.00	99.59
3644.00	99.58
3643.00	99.57
3642.00	99.56
3641.00	99.55
3640.00	99.54
3639.00	99.53
3638.00	99.52
3637.00	99.50
3636.00	99.48
3635.00	99.46
3634.00	99.43
3633.00	99.41
3632.00	99.40
3631.00	99.38
3630.00	99.36
3629.00	99.35
3628.00	99.33
3627.00	99.32
3626.00	99.31
3625.00	99.31
3624.00	99.29
3623.00	99.28
3622.00	99.26
3621.00	99.23
3620.00	99.21
3619.00	99.19
3618.00	99.18
3617.00	99.16
3616.00	99.14
3615.00	99.12
3614.00	99.10
3613.00	99.08
3612.00	99.07
3611.00	99.06
3610.00	99.05
3609.00	99.03
3608.00	99.01
3607.00	98.99
3606.00	98.97
3605.00	98.95
3604.00	98.93
3603.00	98.91
3602.00	98.89
3601.00	98.86
3600.00	98.84
3599.00	98.82
3598.00	98.79
3597.00	98.77
3596.00	98.74
3595.00	98.72
3594.00	98.70
3593.00	98.67
3592.00	98.65
3591.00	98.63
3590.00	98.61
3589.00	98.59
3588.00	98.56
3587.00	98.54
3586.00	98.51
3585.00	98.48
3584.00	98.45
3583.00	98.43
3582.00	98.40
3581.00	98.38
3580.00	98.35
3579.00	98.33
3578.00	98.30
3577.00	98.27
3576.00	98.25
3575.00	98.22
3574.00	98.19
3573.00	98.16
3572.00	98.13
3571.00	98.10
3570.00	98.07
3569.00	98.05
3568.00	98.03
3567.00	98.01
3566.00	97.98
3565.00	97.95
3564.00	97.92
3563.00	97.90
3562.00	97.87
3561.00	97.84
3560.00	97.81
3559.00	97.77
3558.00	97.74
3557.00	97.70
3556.00	97.66
3555.00	97.63
3554.00	97.60
3553.00	97.58
3552.00	97.55
3551.00	97.51
3550.00	97.48
3549.00	97.45
3548.00	97.42
3547.00	97.40
3546.00	97.37
3545.00	97.35
3544.00	97.32
3543.00	97.28
3542.00	97.25
3541.00	97.20
3540.00	97.16
3539.00	97.12
3538.00	97.08
3537.00	97.04
3536.00	97.01
3535.00	96.97
3534.00	96.94
3533.00	96.90
3532.00	96.86
3531.00	96.82
3530.00	96.78
3529.00	96.75
3528.00	96.72
3527.00	96.69
3526.00	96.65
3525.00	96.61
3524.00	96.57
3523.00	96.53
3522.00	96.48
3521.00	96.44
3520.00	96.40
3519.00	96.36
3518.00	96.32
3517.00	96.28
3516.00	96.24
3515.00	96.20
3514.00	96.16
3513.00	96.13
3512.00	96.09
3511.00	96.05
3510.00	96.01
3509.00	95.96
3508.00	95.92
3507.00	95.88
3506.00	95.83
3505.00	95.79
3504.00	95.75
3503.00	95.71
3502.00	95.67
3501.00	95.64
3500.00	95.60
3499.00	95.56
3498.00	95.52
3497.00	95.48
3496.00	95.44
3495.00	95.40
3494.00	95.36
3493.00	95.32
3492.00	95.28
3491.00	95.24
3490.00	95.19
3489.00	95.14
3488.00	95.10
3487.00	95.05
3486.00	95.00
3485.00	94.96
3484.00	94.92
3483.00	94.89
3482.00	94.86
3481.00	94.83
3480.00	94.80
3479.00	94.76
3478.00	94.71
3477.00	94.67
3476.00	94.63
3475.00	94.59
3474.00	94.56
3473.00	94.52
3472.00	94.50
3471.00	94.47
3470.00	94.45
3469.00	94.43
3468.00	94.39
3467.00	94.35
3466.00	94.30
3465.00	94.24
3464.00	94.19
3463.00	94.14
3462.00	94.10
3461.00	94.07
3460.00	94.03
3459.00	93.99
3458.00	93.94
3457.00	93.90
3456.00	93.85
3455.00	93.80
3454.00	93.76
3453.00	93.72
3452.00	93.68
3451.00	93.64
3450.00	93.60
3449.00	93.56
3448.00	93.51
3447.00	93.47
3446.00	93.43
3445.00	93.38
3444.00	93.33
3443.00	93.29
3442.00	93.24
3441.00	93.20
3440.00	93.17
3439.00	93.14
3438.00	93.12
3437.00	93.09
3436.00	93.06
3435.00	93.01
3434.00	92.96
3433.00	92.91
3432.00	92.85
3431.00	92.80
3430.00	92.76
3429.00	92.71
3428.00	92.65
3427.00	92.59
3426.00	92.54
3425.00	92.49
3424.00	92.44
3423.00	92.39
3422.00	92.34
3421.00	92.30
3420.00	92.24
3419.00	92.19
3418.00	92.14
3417.00	92.10
3416.00	92.06
3415.00	92.02
3414.00	91.98
3413.00	91.94
3412.00	91.89
3411.00	91.85
3410.00	91.80
3409.00	91.75
3408.00	91.70
3407.00	91.65
3406.00	91.60
3405.00	91.56
3404.00	91.52
3403.00	91.50
3402.00	91.47
3401.00	91.44
3400.00	91.39
3399.00	91.33
3398.00	91.26
3397.00	91.19
3396.00	91.14
3395.00	91.09
3394.00	91.05
3393.00	91.01
3392.00	90.96
3391.00	90.91
3390.00	90.85
3389.00	90.78
3388.00	90.72
3387.00	90.66
3386.00	90.61
3385.00	90.57
3384.00	90.52
3383.00	90.48
3382.00	90.43
3381.00	90.39
3380.00	90.34
3379.00	90.29
3378.00	90.24
3377.00	90.19
3376.00	90.13
3375.00	90.08
3374.00	90.04
3373.00	89.99
3372.00	89.95
3371.00	89.90
3370.00	89.85
3369.00	89.80
3368.00	89.75
3367.00	89.70
3366.00	89.65
3365.00	89.60
3364.00	89.54
3363.00	89.48
3362.00	89.42
3361.00	89.36
3360.00	89.31
3359.00	89.25
3358.00	89.20
3357.00	89.15
3356.00	89.10
3355.00	89.06
3354.00	89.01
3353.00	88.96
3352.00	88.91
3351.00	88.85
3350.00	88.80
3349.00	88.75
3348.00	88.70
3347.00	88.65
3346.00	88.60
3345.00	88.56
3344.00	88.51
3343.00	88.47
3342.00	88.43
3341.00	88.38
3340.00	88.34
3339.00	88.29
